image,pattern,psnr
0001x2.png,box,23.530033
0001x2.png,random,24.614552
0001x2.png,legendre,24.47041
0002x2.png,box,24.650558
0002x2.png,random,23.541882
0002x2.png,legendre,24.035025
0003x2.png,box,20.727062
0003x2.png,random,20.7442
0003x2.png,legendre,21.492004
0004x2.png,box,22.965689
0004x2.png,random,22.346212
0004x2.png,legendre,22.107574
0005x2.png,box,20.341768
0005x2.png,random,20.90988
0005x2.png,legendre,21.729078
0006x2.png,box,22.505878
0006x2.png,random,21.800158
0006x2.png,legendre,22.640656
0007x2.png,box,22.536373
0007x2.png,random,23.723524
0007x2.png,legendre,23.034023
0008x2.png,box,20.972021
0008x2.png,random,21.557163
0008x2.png,legendre,21.42394
0009x2.png,box,19.987944
0009x2.png,random,23.684307
0009x2.png,legendre,21.808388
0010x2.png,box,21.855885
0010x2.png,random,21.768452
0010x2.png,legendre,21.664202
0011x2.png,box,20.681963
0011x2.png,random,22.092648
0011x2.png,legendre,21.15984
0012x2.png,box,20.439926
0012x2.png,random,21.451878
0012x2.png,legendre,22.518764
0013x2.png,box,25.885742
0013x2.png,random,26.055542
0013x2.png,legendre,25.42201
0014x2.png,box,20.929749
0014x2.png,random,22.29018
0014x2.png,legendre,22.07178
0015x2.png,box,20.043211
0015x2.png,random,21.564863
0015x2.png,legendre,21.453283
0016x2.png,box,21.757612
0016x2.png,random,21.13433
0016x2.png,legendre,22.107418
0017x2.png,box,21.889048
0017x2.png,random,21.671635
0017x2.png,legendre,22.611015
0018x2.png,box,21.072014
0018x2.png,random,23.784513
0018x2.png,legendre,23.366835
0019x2.png,box,20.903738
0019x2.png,random,21.995888
0019x2.png,legendre,22.984774
0020x2.png,box,22.68996
0020x2.png,random,22.682743
0020x2.png,legendre,23.418339
0021x2.png,box,21.431343
0021x2.png,random,21.89833
0021x2.png,legendre,21.7431
0022x2.png,box,21.439075
0022x2.png,random,22.111092
0022x2.png,legendre,21.709011
0023x2.png,box,22.890144
0023x2.png,random,22.951294
0023x2.png,legendre,21.731457
0024x2.png,box,22.1138
0024x2.png,random,23.746597
0024x2.png,legendre,23.807163
0025x2.png,box,24.089523
0025x2.png,random,24.34638
0025x2.png,legendre,23.828453
0026x2.png,box,19.764755
0026x2.png,random,21.87662
0026x2.png,legendre,21.07594
0027x2.png,box,21.883034
0027x2.png,random,21.604462
0027x2.png,legendre,22.057549
0028x2.png,box,21.484758
0028x2.png,random,22.572693
0028x2.png,legendre,21.158438
0029x2.png,box,20.857096
0029x2.png,random,23.712631
0029x2.png,legendre,22.52652
0030x2.png,box,21.804409
0030x2.png,random,21.713749
0030x2.png,legendre,21.819206
0031x2.png,box,22.318583
0031x2.png,random,24.418457
0031x2.png,legendre,22.529758
0032x2.png,box,22.724464
0032x2.png,random,22.610332
0032x2.png,legendre,22.120403
0033x2.png,box,22.244608
0033x2.png,random,23.333185
0033x2.png,legendre,23.690697
0034x2.png,box,19.879992
0034x2.png,random,22.990484
0034x2.png,legendre,22.743418
0035x2.png,box,21.755781
0035x2.png,random,21.495726
0035x2.png,legendre,21.70644
0036x2.png,box,21.381157
0036x2.png,random,20.838665
0036x2.png,legendre,21.406235
0037x2.png,box,24.612215
0037x2.png,random,25.317287
0037x2.png,legendre,25.44423
0038x2.png,box,20.790897
0038x2.png,random,22.782724
0038x2.png,legendre,22.720879
0039x2.png,box,23.070076
0039x2.png,random,23.1275
0039x2.png,legendre,22.683628
0040x2.png,box,23.129696
0040x2.png,random,20.969133
0040x2.png,legendre,22.261261
0041x2.png,box,22.735853
0041x2.png,random,22.182886
0041x2.png,legendre,22.15355
0042x2.png,box,22.193626
0042x2.png,random,24.354237
0042x2.png,legendre,22.87348
0043x2.png,box,22.005707
0043x2.png,random,23.325382
0043x2.png,legendre,22.732008
0044x2.png,box,20.886297
0044x2.png,random,21.70041
0044x2.png,legendre,22.087442
0045x2.png,box,21.51098
0045x2.png,random,23.989082
0045x2.png,legendre,22.660255
0046x2.png,box,22.804983
0046x2.png,random,23.193007
0046x2.png,legendre,22.34608
0047x2.png,box,21.502483
0047x2.png,random,23.04457
0047x2.png,legendre,21.902912
0048x2.png,box,25.133797
0048x2.png,random,24.534437
0048x2.png,legendre,24.794504
0049x2.png,box,22.284601
0049x2.png,random,22.265251
0049x2.png,legendre,22.336948
0050x2.png,box,22.410633
0050x2.png,random,22.876265
0050x2.png,legendre,23.662579
0051x2.png,box,23.32017
0051x2.png,random,23.29702
0051x2.png,legendre,23.356932
0052x2.png,box,21.041958
0052x2.png,random,21.168041
0052x2.png,legendre,21.447872
0053x2.png,box,22.742588
0053x2.png,random,22.909546
0053x2.png,legendre,22.502163
0054x2.png,box,21.490292
0054x2.png,random,22.050224
0054x2.png,legendre,21.3792
0055x2.png,box,26.520279
0055x2.png,random,25.937986
0055x2.png,legendre,26.384144
0056x2.png,box,21.574055
0056x2.png,random,21.418898
0056x2.png,legendre,22.018684
0057x2.png,box,21.766289
0057x2.png,random,21.124094
0057x2.png,legendre,20.303894
0058x2.png,box,22.395405
0058x2.png,random,22.650354
0058x2.png,legendre,23.217981
0059x2.png,box,24.89201
0059x2.png,random,24.53618
0059x2.png,legendre,23.857025
0060x2.png,box,20.32974
0060x2.png,random,21.41331
0060x2.png,legendre,20.941368
0061x2.png,box,23.195211
0061x2.png,random,26.308228
0061x2.png,legendre,24.957146
0062x2.png,box,24.420246
0062x2.png,random,24.866678
0062x2.png,legendre,24.149906
0063x2.png,box,20.031786
0063x2.png,random,20.917242
0063x2.png,legendre,22.330856
0064x2.png,box,24.3979
0064x2.png,random,25.73891
0064x2.png,legendre,24.898235
0065x2.png,box,24.624985
0065x2.png,random,24.419939
0065x2.png,legendre,25.401901
0066x2.png,box,21.19296
0066x2.png,random,21.996738
0066x2.png,legendre,22.185871
0067x2.png,box,23.115364
0067x2.png,random,22.24828
0067x2.png,legendre,23.611172
0068x2.png,box,21.988295
0068x2.png,random,21.516384
0068x2.png,legendre,21.228733
0069x2.png,box,20.528797
0069x2.png,random,24.562431
0069x2.png,legendre,22.050865
0070x2.png,box,21.583384
0070x2.png,random,21.704714
0070x2.png,legendre,21.874151
0071x2.png,box,21.354504
0071x2.png,random,21.032686
0071x2.png,legendre,22.181313
0072x2.png,box,23.15528
0072x2.png,random,22.489838
0072x2.png,legendre,22.578009
